COUNT;OP_ID;OLD_PARENT_NODE_TYPE;OLD_PARENT_NODE_GMLID;OF_OLD_NEAREST_GMLID;OF_OLD_BUILDING_GMLID;PROPERTY_NAME;NEW_VALUE;IS_OPTIONAL;MESSAGE
1;2e9fba2f-7bd4-4ca7-881b-4953ccbaf85e;X3D_MATERIAL;UUID_d15fe0cf-8fb6-4ad8-8acb-54404ee3cbf5;UUID_d15fe0cf-8fb6-4ad8-8acb-54404ee3cbf5;BLDG_0003000f0007d542;shininess;"0.0";false;Property has been inserted to the new city model.
2;c768eb82-66b4-4c25-90cf-3b220df80716;X3D_MATERIAL;UUID_34d2fc73-d567-499f-8d4e-610dc44933eb;UUID_34d2fc73-d567-499f-8d4e-610dc44933eb;BLDG_000300000026dfcd;shininess;"0.0";false;Property has been inserted to the new city model.
3;cc4b3479-8df3-46c3-ab94-86f46ee94f94;X3D_MATERIAL;UUID_dfbe9d16-1208-4e69-9df4-11efadb906eb;UUID_dfbe9d16-1208-4e69-9df4-11efadb906eb;BLDG_0003000b00498621;shininess;"0.0";false;Property has been inserted to the new city model.
4;026f1c8e-eeab-4125-9178-3ec4b0d40194;X3D_MATERIAL;UUID_f4e92478-6f6d-4c5b-9e6e-a83c600fa179;UUID_f4e92478-6f6d-4c5b-9e6e-a83c600fa179;BLDG_0003000b00498671;shininess;"0.0";false;Property has been inserted to the new city model.
5;61423021-3cfe-474f-bc7e-f9d8c2614594;X3D_MATERIAL;UUID_b5a9804e-d446-4711-80bf-3177700513e4;UUID_b5a9804e-d446-4711-80bf-3177700513e4;BLDG_000300000026dd8b;shininess;"0.0";false;Property has been inserted to the new city model.
6;6429e76c-c1b6-4805-b035-fc81cbe66042;X3D_MATERIAL;UUID_36bd14bd-84c7-490f-8415-767efe3162f6;UUID_36bd14bd-84c7-490f-8415-767efe3162f6;BLDG_0003000e006105d1;shininess;"0.0";false;Property has been inserted to the new city model.
7;9ef25198-ebad-4632-b6a8-8c6b3ae98a9a;X3D_MATERIAL;UUID_c3b3b41f-1098-4d86-9629-ef8f4244e782;UUID_c3b3b41f-1098-4d86-9629-ef8f4244e782;BLDG_0003000b002ea117;shininess;"0.0";false;Property has been inserted to the new city model.
8;32cdf3ea-6744-48e6-8646-8c89fba78999;X3D_MATERIAL;UUID_8cfd4e4d-dc17-4953-85c3-2758a80a9811;UUID_8cfd4e4d-dc17-4953-85c3-2758a80a9811;BLDG_0003000b00373da0;shininess;"0.0";false;Property has been inserted to the new city model.
9;e4f94ddf-c766-4f91-a389-30913bbf6a8e;X3D_MATERIAL;UUID_636d1872-915d-4a57-81ba-4841d441509b;UUID_636d1872-915d-4a57-81ba-4841d441509b;BLDG_0003000b00498546;shininess;"0.0";false;Property has been inserted to the new city model.
10;17b492d8-5c4e-404f-8a7a-1b048c91dc0d;X3D_MATERIAL;UUID_2c1efd14-c593-4946-b044-c6e14330b03d;UUID_2c1efd14-c593-4946-b044-c6e14330b03d;BLDG_0003000b0049860b;shininess;"0.0";false;Property has been inserted to the new city model.
11;7886e40b-4033-4ca5-a502-9df7a19dcc32;X3D_MATERIAL;UUID_dc105ac1-d590-4837-92a2-de85c796b0f1;UUID_dc105ac1-d590-4837-92a2-de85c796b0f1;BLDG_0003000000270cfd;shininess;"0.0";false;Property has been inserted to the new city model.
12;53fa1759-feab-451a-8c53-3be71a841f6a;X3D_MATERIAL;UUID_672233d1-5100-4524-b170-167379f16170;UUID_672233d1-5100-4524-b170-167379f16170;BLDG_0003000b00498597;shininess;"0.0";false;Property has been inserted to the new city model.
13;b4bb2652-79e5-43fd-a75c-e21953ed52c9;X3D_MATERIAL;UUID_f2a4da96-c0a6-43c5-99b6-7704fe25f23c;UUID_f2a4da96-c0a6-43c5-99b6-7704fe25f23c;BLDG_0003000000270d34;shininess;"0.0";false;Property has been inserted to the new city model.
14;20aab351-81da-4b63-a82d-505d14524e8d;X3D_MATERIAL;UUID_d030f3fa-3e77-45c2-93a1-eb4bcf212576;UUID_d030f3fa-3e77-45c2-93a1-eb4bcf212576;BLDG_0003000b004985a5;shininess;"0.0";false;Property has been inserted to the new city model.
15;1b30c252-3da5-41bb-97a2-3a7c78f7a1ab;X3D_MATERIAL;UUID_a741ae6e-f0e0-4c63-9261-a8d5028a4075;UUID_a741ae6e-f0e0-4c63-9261-a8d5028a4075;BLDG_0003000f00082158;shininess;"0.0";false;Property has been inserted to the new city model.
16;ad50b9e6-31c5-4c0f-b2e9-676f4f5a996f;X3D_MATERIAL;UUID_4d24f3b1-c341-4f4c-b0ac-5e6926f18622;UUID_4d24f3b1-c341-4f4c-b0ac-5e6926f18622;BLDG_0003000b0049857d;shininess;"0.0";false;Property has been inserted to the new city model.
17;ad6d4233-4c66-4ef3-aed9-838cf92d6968;X3D_MATERIAL;UUID_cb8555e1-e196-4cc7-9ddc-028017d1fc53;UUID_cb8555e1-e196-4cc7-9ddc-028017d1fc53;BLDG_0003000a004ecf4f;shininess;"0.0";false;Property has been inserted to the new city model.
18;797ca7e5-9604-4f22-b1ac-027c15adf65d;X3D_MATERIAL;UUID_7fe65258-1a12-473f-8f2e-5c7d85c9bcaf;UUID_7fe65258-1a12-473f-8f2e-5c7d85c9bcaf;BLDG_0003000000079dc1;shininess;"0.0";false;Property has been inserted to the new city model.
19;557f8cde-a980-4f43-9c5c-6ba1ce511676;X3D_MATERIAL;UUID_ef1b3053-d079-4ef2-9ca5-3359176832a1;UUID_ef1b3053-d079-4ef2-9ca5-3359176832a1;BLDG_0003000b003786a9;shininess;"0.0";false;Property has been inserted to the new city model.
20;550d7e02-6596-48e5-b73b-b95fa0a47c2d;X3D_MATERIAL;UUID_86843e5d-5c10-458d-8b6c-e6b2eda7b99e;UUID_86843e5d-5c10-458d-8b6c-e6b2eda7b99e;BLDG_000300000026dd6d;shininess;"0.0";false;Property has been inserted to the new city model.
21;a365829b-02b2-4906-af99-505a6bd977b0;X3D_MATERIAL;UUID_5ffd0727-c0dd-4a4e-be7c-5de13019625f;UUID_5ffd0727-c0dd-4a4e-be7c-5de13019625f;BLDG_0003000000431e93;shininess;"0.0";false;Property has been inserted to the new city model.
22;5cffbfbf-0c0e-4d41-a040-3a7bf8702f02;X3D_MATERIAL;UUID_91d50136-116d-4715-aa6e-4b162f877a60;UUID_91d50136-116d-4715-aa6e-4b162f877a60;BLDG_0003000b002ea137;shininess;"0.0";false;Property has been inserted to the new city model.
23;fee6d1e1-a63c-4a57-bcb9-4dc4fe8c2e3e;X3D_MATERIAL;UUID_81be8610-97a1-4ef3-a153-932667c8f26f;UUID_81be8610-97a1-4ef3-a153-932667c8f26f;BLDG_0003000b00373e59;shininess;"0.0";false;Property has been inserted to the new city model.
24;4ee0b4f5-0e8a-41d3-be40-b06c715ab480;X3D_MATERIAL;UUID_adefadd3-c8c4-49da-8e56-435374113f59;UUID_adefadd3-c8c4-49da-8e56-435374113f59;BLDG_000300000026f450;shininess;"0.0";false;Property has been inserted to the new city model.
25;547d2c19-0e00-410a-8b32-72638ba769d1;X3D_MATERIAL;UUID_a65cca30-568e-46b8-9478-4567078928ce;UUID_a65cca30-568e-46b8-9478-4567078928ce;BLDG_0003000b002ea180;shininess;"0.0";false;Property has been inserted to the new city model.
26;0a76420c-bf3c-4fad-b5b9-13dac2b8badc;X3D_MATERIAL;UUID_55d79456-a78b-4868-bf27-f946a6cc32ff;UUID_55d79456-a78b-4868-bf27-f946a6cc32ff;BLDG_0003000000432664;shininess;"0.0";false;Property has been inserted to the new city model.
27;c87e5214-a1bd-498c-8f8c-dd52773d293b;X3D_MATERIAL;UUID_834587d2-e374-454b-9677-71498ade4104;UUID_834587d2-e374-454b-9677-71498ade4104;BLDG_000300000026fd16;shininess;"0.0";false;Property has been inserted to the new city model.
28;fb9dad42-b8fa-4df6-9a98-add2a753bc66;X3D_MATERIAL;UUID_ee959c08-46af-4885-a0ac-22b0b723f351;UUID_ee959c08-46af-4885-a0ac-22b0b723f351;BLDG_0003000b00373e5f;shininess;"0.0";false;Property has been inserted to the new city model.
29;682dd18c-fa4a-46ae-a8a9-f92f60e27256;X3D_MATERIAL;UUID_d49e3a7e-0dee-4e72-a253-637bf321af7d;UUID_d49e3a7e-0dee-4e72-a253-637bf321af7d;BLDG_0003000f0007d517;shininess;"0.0";false;Property has been inserted to the new city model.
